%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 6 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 75.00 3.70 97.40 0.00 0.00 -999.00 275.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 6 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 77.00 3.90 97.42 0.00 0.00 -999.00 277.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 6 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 84.00 2.60 97.44 0.00 0.00 -999.00 269.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 6 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 86.00 2.00 97.45 0.00 0.00 -999.00 264.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 6 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 86.00 2.30 97.42 0.00 0.00 -999.00 278.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 6 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 85.00 2.40 97.42 0.00 0.00 -999.00 271.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 6 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.20000 85.00 2.50 97.50 0.00 0.00 -999.00 269.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 6 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 84.00 3.30 97.57 0.00 72.00 -999.00 277.00 -999.00 -999.00 -999.00 -999.00 56.00 102.00 100.00
1985 6 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 81.00 4.20 97.52 0.00 95.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 85.00 42.00 110.00
1985 6 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 77.00 4.10 97.53 0.00 112.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 104.00 27.00 90.00
1985 6 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 79.00 4.50 97.43 0.00 76.00 -999.00 307.00 -999.00 -999.00 -999.00 -999.00 76.00 0.00 100.00
